"product_index";"product_name";"product_tag";"product_kcal";"product_protein";"product_Na";"product_Ka";"product_P";"product_carbohydrate";"product_protein_range"
1;"人心果";"水果類";82.512;0.6;10.0;250.0;10.0;20.5;0
2;"土芒果";"水果類";56.1624;0.6145;2.0;132.187;11.984;14.3494;0
3;"土芭樂";"水果類";39.1794;0.74;5.0;150.0;15.0;9.96;0
4;"大雪梨";"水果類";39.0809;0.357;0.4274;152.662;13.7136;10.2857;0
5;"大番茄平均值(紅色系)";"水果類";17.9039;0.7743;2.1279;217.4;24.3516;4.125;0
6;"大番茄平均值(綠色系)";"水果類";20.4947;0.8593;4.0255;197.271;19.715;4.7297;0
7;"小玉西瓜";"水果類";34.5111;0.791;2.4225;93.7878;9.0187;8.6389;0
8;"小番茄平均值(紅色系)";"水果類";30.7809;0.9654;5.5238;272.272;22.4584;7.1448;0
9;"山竹";"水果類";69.4004;0.5535;3.1624;81.7065;12.4949;18.094;0
10;"天香洋香瓜";"水果類";44.4817;0.811;8.543;240.951;13.5972;11.5705;0
11;"太陽洋香瓜";"水果類";32.3771;1.163;3.1355;280.735;11.0669;7.8275;0
12;"文旦";"水果類";33.48;0.69;0.9882;132.291;16.0753;8.4228;0
13;"木瓜(11月取樣)";"水果類";44.199;0.411;4.8663;145.746;12.9132;11.7765;0
14;"木瓜(2月取樣)";"水果類";32.5357;0.51;2.8192;262.872;6.1788;8.415;0
15;"木瓜(5月取樣)";"水果類";43.8347;0.675;3.6739;208.824;10.6776;11.3045;0
16;"木瓜(8月取樣)";"水果類";33.4413;0.457;2.9287;185.929;11.7011;8.8139;0
17;"木瓜平均值";"水果類";38.5027;0.5133;3.572;200.843;10.3677;10.0775;0
18;"水蜜桃(拉拉山)";"水果類";34.6698;1.073;0.123;227.804;22.771;8.3098;0
19;"水蜜桃(進口)";"水果類";42.2542;0.8225;5.041;165.997;22.2897;10.6448;0
20;"水蜜桃平均值";"水果類";38.462;0.9478;2.582;196.9;22.5304;9.4773;0
21;"牛心柿";"水果類";62.3047;0.4805;3.3468;158.71;13.7052;16.4829;0
22;"牛奶鳳梨";"水果類";60.4765;0.7795;0.3495;169.579;9.6935;15.3991;0
23;"牛乳芭樂";"水果類";33.1204;0.532;0.4652;98.435;10.5022;8.5199;0
24;"牛番茄";"水果類";17.9044;0.7085;1.6748;227.158;27.6423;4.0434;0
25;"世紀芭樂";"水果類";39.7046;0.662;0.4396;159.902;12.6578;10.2531;0
26;"加州青李";"水果類";47.176;0.649;0.4595;163.364;55.5462;11.9872;0
27;"加州紅李(台灣)";"水果類";44.6365;0.348;0.0304;104.904;8.3618;10.5853;0
28;"加州紅李(進口)";"水果類";60.0724;0.818;3.5;167.66;19.9581;15.3065;0
29;"加州黑李(進口)";"水果類";55.9127;0.737;0.0;149.732;15.6951;14.5714;0
30;"加州蜜李(進口)";"水果類";66.2079;1.254;0.0521;208.785;25.2468;17.1014;0
31;"加拉蘋果";"水果類";55.0358;0.193;0.3405;113.444;10.6908;14.9611;0
32;"北蕉(11月取樣)";"水果類";90.231;1.593;0.128;462.955;30.8777;23.4102;0
33;"北蕉(2月取樣)";"水果類";93.2203;1.324;0.1743;356.923;16.7153;24.633;0
34;"北蕉(5月取樣)";"水果類";95.1577;1.67;0.0;366.548;22.0647;24.6206;0
35;"北蕉(9月取樣)";"水果類";64.6971;1.33;0.1469;303.786;19.9845;16.6394;0
36;"北蕉平均值";"水果類";85.8265;1.4793;0.1123;372.553;22.4106;22.3258;0
37;"可可椰子汁(屏東)";"水果類";17.4759;0.068;3.8686;187.25;7.7789;4.7477;0
38;"可可椰子汁(進口)";"水果類";13.0197;0.035;2.4514;189.847;5.6847;3.5537;0
39;"可可椰子汁平均值";"水果類";15.2478;0.0515;3.16;188.548;6.7318;4.1507;0
40;"台灣土棗";"水果類";87.9228;0.908;1.2248;323.76;33.3959;22.9687;0
41;"四周柿";"水果類";65.6456;0.474;0.4203;196.55;14.5174;17.5623;0
42;"巨峰葡萄";"水果類";62.7025;0.51;0.9389;120.61;14.9228;16.398;0
43;"玉文芒果";"水果類";61.9019;0.519;0.0;120.664;13.621;16.0712;0
44;"玉荷苞荔枝";"水果類";69.5167;1.077;0.0402;194.729;25.7885;17.6075;0
45;"甘蔗鳳梨";"水果類";57.4048;0.693;0.0633;121.899;9.9259;15.1288;0
46;"白油桃";"水果類";36.7819;0.635;0.684;181.884;19.7848;9.3339;0
47;"白柚";"水果類";37.655;0.5755;7.1127;150.979;17.3529;9.5692;0
48;"白櫻桃";"水果類";69.3936;0.702;0.5416;224.42;18.3958;18.3941;0
49;"印度棗";"水果類";46.3173;1.0717;2.6186;218.793;17.4695;11.5397;0
50;"印度棗平均值(大)";"水果類";49.6036;0.8244;1.4253;196.25;15.0206;12.5802;0
51;"安石榴";"水果類";67.2198;1.7;8.0;200.0;40.0;16.76;0
52;"百香果";"水果類";66.0;2.2;2.0;200.0;50.0;10.7;0
53;"百香果汁";"水果類";77.8757;0.871;0.9742;238.536;26.7497;18.6121;0
54;"西瓜平均值(紅肉小瓜)";"水果類";34.0695;0.8253;1.6047;107.679;11.7579;8.5039;0
55;"西瓜平均值(黃肉小瓜)";"水果類";29.076;0.679;1.5732;98.5578;9.7878;7.3197;0
56;"西施蜜柚";"水果類";40.3168;0.803;0.2111;174.947;15.5935;10.0916;0
57;"西洋梨(青皮)";"水果類";61.8717;0.2755;18.0783;118.928;12.6886;16.4842;0
58;"西洋梨(紅皮)";"水果類";52.6564;0.24;1.5162;122.257;11.7222;14.0703;0
59;"西洋梨(黃皮)";"水果類";43.6562;0.206;0.3435;95.7702;9.1107;11.7624;0
60;"西洋梨平均值";"水果類";52.7281;0.2405;6.646;112.318;11.1738;14.1056;0
61;"冷凍荔枝";"水果類";28.1127;0.4;9.0;130.0;27.0;7.18;0
62;"李子平均值(青皮黃肉)";"水果類";47.5354;0.667;0.2939;151.859;35.8599;11.7093;0
63;"李子平均值(紅皮紅肉)";"水果類";39.4575;0.6053;0.2462;147.833;11.6226;9.6089;0
64;"李子平均值(紅皮黃肉)";"水果類";46.7908;0.7289;0.7677;151.72;15.2799;11.5873;0
65;"李林蕉";"水果類";102.175;1.418;0.0;394.875;20.415;26.253;0
66;"芒果平均值(西洋種)";"水果類";50.6093;0.5613;4.8774;116.621;12.337;13.0229;0
67;"芒果平均值(新興種)";"水果類";54.7681;0.5671;1.3968;139.562;13.1376;14.105;0
68;"奇異果";"水果類";55.0307;1.0905;4.0936;300.685;33.7113;13.757;0
69;"宜蘭番茄";"水果類";17.3458;0.771;2.152;184.139;18.8542;4.048;0
70;"幸水梨";"水果類";34.1309;0.403;0.446;107.072;9.187;9.014;0
71;"枇杷";"水果類";36.6456;0.325;5.4656;175.665;36.3701;9.5584;0
72;"狀元瓜";"水果類";26.8842;0.7435;19.5885;197.1;9.6525;6.4856;0
73;"玫瑰桃";"水果類";50.949;1.2;7.0;200.0;21.0;12.8;0
74;"肯特芒果";"水果類";49.3645;0.538;17.3543;140.197;11.5535;12.6627;0
75;"芭樂平均值(白肉)";"水果類";37.3272;0.6615;1.9605;138.891;12.7162;9.584;0
76;"金女小番茄";"水果類";28.7325;1.099;4.464;282.694;17.81;6.6221;0
77;"金冠蘋果(梨山)";"水果類";48.7552;0.36;0.0;128.296;10.8773;12.9688;0
78;"金柑平均值";"水果類";41.7407;0.7955;4.6328;116.407;14.6195;10.3616;0
79;"金香葡萄(含皮)";"水果類";60.1749;0.63;0.2428;205.314;25.8378;15.9831;0
80;"金黃奇異果";"水果類";58.9366;0.8385;2.0379;251.612;22.8358;14.97;0
81;"金煌芒果";"水果類";51.637;0.8265;7.6948;103.775;10.3992;13.0084;0
82;"金蜜芒果";"水果類";63.8271;0.583;0.836;295.759;13.295;16.3012;0
83;"金興芒果";"水果類";40.9565;0.552;0.403;124.226;16.26;10.6033;0
84;"金蘭西瓜";"水果類";23.6408;0.567;0.7238;103.328;10.5569;6.0005;0
85;"金鑽鳳梨";"水果類";62.7679;0.647;0.636;145.854;6.33;16.7054;0
86;"長果金柑";"水果類";51.9046;0.891;5.2655;122.814;14.2389;13.1632;0
87;"青木瓜";"水果類";25.3301;0.565;1.004;151.344;14.5419;6.3635;0
88;"青皮葡萄柚";"水果類";33.1124;0.751;1.035;140.661;14.424;8.2991;0
89;"青龍蘋果";"水果類";52.196;0.3125;5.0975;123.897;12.6887;13.7778;0
90;"南華蕉";"水果類";124.085;1.142;2.6155;304.793;37.2385;33.1697;0
91;"柿餅";"水果類";182.939;1.4995;3.9461;577.502;48.0509;49.0285;0
92;"柳橙";"水果類";43.4692;0.799;5.3037;145.217;20.8438;11.0454;0
93;"津經蜜蘋果(梨山)";"水果類";56.3442;0.198;0.552;135.405;8.408;15.076;0
94;"珍珠芭樂";"水果類";40.109;0.495;0.7001;160.238;11.1328;10.4864;0
95;"珍珠蜜棗";"水果類";45.9525;1.112;0.7215;248.014;15.5493;11.6686;0
96;"皇宮西瓜";"水果類";32.3959;0.69;0.9055;114.947;12.609;8.0912;0
97;"秋香洋香瓜";"水果類";34.0753;1.04;16.0924;232.08;13.007;8.3917;0
98;"秋香蘋果(梨山)";"水果類";45.3376;0.265;0.4479;95.0236;10.0595;12.296;0
99;"突目1號鳳梨";"水果類";56.1664;0.624;0.0265;191.021;8.3973;14.5402;0
100;"紅毛丹";"水果類";73.2833;1.0315;8.1841;151.863;23.4418;17.8662;0
101;"紅甘蔗";"水果類";50.6589;0.56;0.0;0.0;0.0;11.48;0
102;"紅皮蕉";"水果類";92.9853;1.287;0.316;375.69;19.1608;23.951;0
103;"紅肉李(大)";"水果類";40.5805;0.5315;0.0003;139.654;9.9091;10.0037;0
104;"紅肉李(小)";"水果類";38.3345;0.679;0.492;156.012;13.336;9.214;0
105;"紅柑";"水果類";41.9418;0.792;0.869;162.807;13.882;10.7474;0
106;"紅棗";"水果類";227.4;3.173;9.65;596.74;70.38;59.5078;0
107;"紅番茄";"水果類";19.0464;0.885;2.055;247.161;26.6687;4.3568;0
108;"紅鈴西瓜";"水果類";33.3475;0.874;2.2474;97.3812;7.6362;8.3375;0
109;"紅龍果(白肉)";"水果類";51.5228;1.068;8.0696;219.31;24.1338;12.6106;0
110;"紅龍果(紅肉)";"水果類";53.6024;1.443;0.377;209.847;31.998;13.1475;0
111;"紅寶石葡萄柚(古坑)";"水果類";36.8728;0.702;0.0;184.294;20.083;8.9274;0
112;"美國五爪蘋果";"水果類";50.6902;0.1545;2.2349;117.57;10.4441;13.7783;0
113;"美國紅葡萄";"水果類";68.6178;0.443;7.9209;166.297;25.4341;17.7089;0
114;"美國紅葡萄(含皮)";"水果類";61.3069;0.4385;1.1939;214.388;19.4972;16.2833;0
115;"美國紫葡萄(含皮)";"水果類";80.4128;0.444;0.6748;228.312;20.7581;21.9225;0
116;"美國黑葡萄(含皮)";"水果類";62.6744;0.592;0.3481;213.339;25.4408;16.4455;0
117;"美國綠葡萄";"水果類";63.9579;0.5385;7.0882;163.605;23.2924;16.8136;0
118;"美國綠葡萄(含皮)";"水果類";86.9466;0.581;0.9027;264.253;22.6266;22.6912;0
119;"美濃瓜";"水果類";37.0059;1.009;6.0583;308.305;18.9159;8.9336;0
120;"茂谷柑";"水果類";40.106;0.797;0.3727;138.46;11.4484;10.3967;0
121;"香水李";"水果類";36.1779;0.709;0.264;148.408;15.965;8.7576;0
122;"香水芒果";"水果類";65.2215;0.5715;0.3697;142.754;10.9677;17.0866;0
123;"香吉士(進口)";"水果類";47.2362;0.6845;1.1047;143.988;20.0378;11.3663;0
124;"桑葚";"水果類";31.9989;1.137;0.786;180.271;23.8843;6.9727;0
125;"桑葚汁";"水果類";25.1552;0.815;0.48;141.072;16.2735;5.8665;0
126;"桃太郎番茄";"水果類";16.7608;0.7295;2.654;177.88;18.7437;3.9749;0
127;"桃接李(大)";"水果類";37.5626;0.5845;0.7417;122.318;10.001;9.231;0
128;"桃接李(小)";"水果類";36.0876;0.66;0.0181;158.244;12.1468;8.5418;0
129;"泰國芭樂";"水果類";38.445;0.8;5.0;150.0;15.0;9.7;0
130;"海梨桶柑";"水果類";43.8265;0.8645;6.2029;106.686;17.7486;11.0184;0
131;"海頓芒果";"水果類";68.3434;0.38;4.0;120.0;15.0;15.74;0
132;"荔枝平均值";"水果類";65.5993;0.9902;1.145;187.171;24.3807;16.6825;0
133;"草莓";"水果類";38.3569;0.928;9.4849;198.428;20.8738;9.3689;0
134;"高接梨平均值";"水果類";48.5497;0.3275;0.34;118.34;10.7934;12.9804;0
135;"高牆桶柑";"水果類";45.1465;0.771;0.8032;121.57;13.3523;11.8211;0
136;"將軍蜜梨";"水果類";49.8356;0.366;0.4764;113.818;9.2973;13.3133;0
137;"帶殼龍眼乾";"水果類";278.491;4.604;0.4082;1044.41;95.6379;72.8965;0
138;"桶柑平均值";"水果類";44.4865;0.8178;3.5031;114.128;15.5505;11.4198;0
139;"梨山蜜梨";"水果類";47.2637;0.289;0.2036;122.862;12.2894;12.6475;0
140;"甜瓜平均值(光皮洋香瓜)";"水果類";29.3584;0.8763;13.7498;218.053;10.3732;7.1514;0
141;"甜瓜平均值(東洋系脆瓜)";"水果類";36.7738;0.9633;8.5794;320.316;20.616;8.9606;0
142;"甜瓜平均值(網紋洋香瓜)";"水果類";37.3765;0.982;12.2801;283.795;12.6832;9.3886;0
143;"甜柿(進口)";"水果類";57.4922;0.5715;5.4062;138.267;14.786;15.2588;0
144;"甜柿平均值";"水果類";57.1428;0.4813;2.9431;130.925;12.7695;15.1904;0
145;"甜蜜蜜鳳梨";"水果類";42.3321;0.978;0.4058;224.67;15.0173;10.6299;0
146;"甜橙平均值(普遍系)";"水果類";45.584;0.7908;2.9883;148.559;21.6968;11.3509;0
147;"蛋黃果";"水果類";105.623;1.405;2.7636;288.713;20.076;27.2831;0
148;"凱特芒果";"水果類";50.1086;1.145;0.566;114.839;15.097;12.4777;0
149;"富士蘋果(進口)";"水果類";49.638;0.203;4.8833;128.712;10.761;13.3143;0
